city,date,conditions
"Tulsa, OK",2019-05-06,"Rain, Partially cloudy"
"Detroit, MI",2018-08-15,Clear
"Minneapolis, MN",2018-05-24,"Rain, Partially cloudy"
"Las Vegas, NV",2018-10-11,Clear
"Columbus, OH",2019-10-31,"Rain, Overcast"
"Washington, DC",2019-04-01,Partially cloudy
"New York, NY",2019-10-08,"Rain, Partially cloudy"
"Newark, NJ",2019-04-14,"Rain, Partially cloudy"
"Atlanta, GA",2018-12-17,Clear
"Austin, TX",2018-06-28,Partially cloudy
"Atlanta, GA",2019-11-28,Clear
"St. Louis, MO",2019-05-23,"Rain, Partially cloudy"
"Myrtle Beach, SC",2018-06-20,Rain
"Indianapolis, IN",2019-12-09,"Rain, Overcast"
"Austin, TX",2019-03-16,Overcast
"Charlotte, NC",2019-03-02,"Rain, Overcast"
"Fayetteville, AR",2018-08-06,Clear
"Minneapolis, MN",2019-09-30,"Rain, Overcast"
"Miami, FL",2019-09-27,Partially cloudy
"Newark, NJ",2019-11-19,"Rain, Overcast"
"Detroit, MI",2019-01-04,Clear
"San Francisco, CA",2019-10-03,Clear
"Oklahoma City, OK",2019-10-25,"Rain, Overcast"
"Manchester, NH",2019-12-15,Partially cloudy
"Newark, NJ",2018-03-09,"Snow, Partially cloudy"
"Fort Myers, FL",2018-12-08,Clear
"Portland, ME",2019-11-11,"Rain, Overcast"
"Jackson, WY",2019-04-10,"Snow, Partially cloudy"
"Washington, DC",2018-08-18,Overcast
"Charlotte, NC",2018-04-25,"Rain, Overcast"
"Fresno, CA",2019-03-13,Clear
"Detroit, MI",2018-08-02,Clear
"Houston, TX",2019-05-23,Overcast
"New Orleans, LA",2019-10-03,Partially cloudy
"Boston, MA",2018-10-18,Clear
"Burbank, CA",2018-09-28,Partially cloudy
"Houston, TX",2018-08-18,Partially cloudy
"Dallas/Fort Worth, TX",2018-12-13,"Rain, Overcast"
"Chicago, IL",2018-03-18,Partially cloudy
"New Orleans, LA",2018-02-27,Overcast
"Miami, FL",2019-06-19,"Rain, Partially cloudy"
"San Jose, CA",2018-08-31,Partially cloudy
"Seattle, WA",2018-11-22,"Rain, Overcast"
"West Palm Beach/Palm Beach, FL",2018-07-30,"Rain, Partially cloudy"
"Las Vegas, NV",2019-12-15,"Rain, Partially cloudy"
"Santa Rosa, CA",2018-10-21,Partially cloudy
"Dallas/Fort Worth, TX",2019-09-19,Partially cloudy
"Seattle, WA",2018-06-26,Partially cloudy
"Cleveland, OH",2018-11-12,Partially cloudy
"Nashville, TN",2018-03-08,"Rain, Partially cloudy"
"Chicago, IL",2019-10-23,"Rain, Partially cloudy"
"Pittsburgh, PA",2019-10-22,"Rain, Partially cloudy"
"New York, NY",2019-09-30,Partially cloudy
"Cleveland, OH",2019-01-29,"Snow, Overcast"
"Omaha, NE",2019-11-12,Snow
"Baltimore, MD",2018-09-02,Partially cloudy
"Chicago, IL",2019-12-30,"Snow, Overcast"
"Rochester, MN",2018-11-18,Clear
"Oakland, CA",2019-07-08,Overcast
"Chicago, IL",2018-09-27,Partially cloudy
"Guam, TT",2019-02-21,"Rain, Partially cloudy"
"Phoenix, AZ",2018-02-25,Clear
"Indianapolis, IN",2019-04-02,Partially cloudy
"Newark, NJ",2018-01-03,"Snow, Partially cloudy"
"Raleigh/Durham, NC",2019-07-03,Partially cloudy
"Boston, MA",2019-11-13,Clear
"Dallas/Fort Worth, TX",2019-03-09,"Rain, Partially cloudy"
"Raleigh/Durham, NC",2019-09-27,Partially cloudy
"Rochester, NY",2019-06-13,"Rain, Partially cloudy"
"Louisville, KY",2019-07-18,"Rain, Partially cloudy"
"Norfolk, VA",2018-09-13,"Rain, Overcast"
"New Orleans, LA",2018-04-10,Partially cloudy
"San Diego, CA",2018-10-21,Clear
"Charlotte, NC",2018-03-31,Clear
"Des Moines, IA",2018-03-20,Overcast
"Niagara Falls, NY",2019-04-03,Partially cloudy
"Seattle, WA",2018-03-15,Clear
"Chicago, IL",2018-03-03,Partially cloudy
"Nashville, TN",2019-07-02,Partially cloudy
"Sacramento, CA",2019-01-22,Clear
"Newark, NJ",2019-08-05,Partially cloudy
"San Juan, PR",2019-03-02,Partially cloudy
"Phoenix, AZ",2019-11-05,Clear
"Chicago, IL",2018-10-05,"Rain, Overcast"
"Fairbanks, AK",2018-07-14,Partially cloudy
"Oakland, CA",2018-10-14,Partially cloudy
"Chicago, IL",2019-03-10,Partially cloudy
"Newark, NJ",2019-09-22,Partially cloudy
"Dallas, TX",2018-05-28,Clear
"Palm Springs, CA",2019-09-07,Clear
"Baltimore, MD",2019-03-01,"Snow, Overcast"
"Seattle, WA",2019-09-17,"Rain, Partially cloudy"
"Chattanooga, TN",2019-04-04,Partially cloudy
"Allentown/Bethlehem/Easton, PA",2019-05-28,"Rain, Partially cloudy"
"Chicago, IL",2018-05-11,"Rain, Overcast"
"Fort Lauderdale, FL",2019-05-23,Partially cloudy
"Dallas/Fort Worth, TX",2019-10-02,Clear
"San Diego, CA",2019-02-11,Clear
"Tampa, FL",2018-06-25,"Rain, Partially cloudy"
"Columbus, OH",2019-09-14,Partially cloudy
"Chicago, IL",2019-04-23,Overcast
"Chicago, IL",2018-06-02,"Rain, Overcast"
"New York, NY",2018-10-29,"Rain, Partially cloudy"
"Dallas/Fort Worth, TX",2019-10-09,Partially cloudy
"New York, NY",2019-04-02,Partially cloudy
"Newark, NJ",2019-11-29,Partially cloudy
"Atlanta, GA",2018-10-04,Clear
"Pittsburgh, PA",2019-11-14,Partially cloudy
"Chicago, IL",2019-10-17,Partially cloudy
"Houston, TX",2019-09-23,"Rain, Partially cloudy"
"Seattle, WA",2018-08-03,Partially cloudy
"Chicago, IL",2018-03-06,"Rain, Overcast"
"San Jose, CA",2019-10-04,Clear
"Louisville, KY",2018-10-03,Partially cloudy
"New York, NY",2018-03-14,Rain
"Atlanta, GA",2019-03-08,"Rain, Overcast"
"Valdosta, GA",2018-05-31,"Rain, Partially cloudy"
"Reno, NV",2019-12-15,"Snow, Partially cloudy"
"Houston, TX",2019-03-02,"Rain, Overcast"
"Chattanooga, TN",2018-10-21,Clear
"Fort Lauderdale, FL",2019-04-25,Partially cloudy
"Charlotte, NC",2019-01-06,Partially cloudy
"Minneapolis, MN",2019-12-25,Overcast
"Chicago, IL",2019-12-17,Partially cloudy
"Portland, OR",2018-04-13,"Rain, Overcast"
"Chicago, IL",2018-07-30,Partially cloudy
"Charlotte, NC",2018-08-30,Partially cloudy
"Honolulu, HI",2018-02-10,Partially cloudy
"Minneapolis, MN",2018-03-07,Partially cloudy
"Boston, MA",2018-11-25,"Rain, Overcast"
"Chicago, IL",2019-07-29,"Rain, Partially cloudy"
"St. Louis, MO",2019-06-22,"Rain, Partially cloudy"
"Austin, TX",2019-07-28,Partially cloudy
"Detroit, MI",2018-12-13,"Rain, Partially cloudy"
"Bellingham, WA",2019-03-05,Partially cloudy
"Burlington, VT",2018-07-26,"Rain, Overcast"
"Meridian, MS",2019-09-05,Clear
"Salt Lake City, UT",2019-04-19,Partially cloudy
"San Francisco, CA",2018-02-15,Clear
"Key West, FL",2018-04-19,Clear
"Denver, CO",2018-03-10,Partially cloudy
"Detroit, MI",2018-04-23,Clear
"Charlotte, NC",2019-11-07,"Rain, Partially cloudy"
"Dallas, TX",2019-01-05,Clear
"Phoenix, AZ",2018-05-18,Clear
"Oklahoma City, OK",2019-01-20,Partially cloudy
"Cincinnati, OH",2018-10-30,Partially cloudy
"Orlando, FL",2018-06-20,"Rain, Partially cloudy"
"New York, NY",2018-05-21,Rain
"Chicago, IL",2018-09-02,"Rain, Overcast"
"Columbus, OH",2018-10-11,"Rain, Partially cloudy"
"Richmond, VA",2019-10-27,"Rain, Partially cloudy"
"New York, NY",2019-10-31,"Rain, Partially cloudy"
"Denver, CO",2019-05-23,Overcast
"Lansing, MI",2018-02-14,Clear
"Washington, DC",2019-06-13,"Rain, Partially cloudy"
"Louisville, KY",2019-08-25,"Rain, Partially cloudy"
"Atlanta, GA",2018-03-01,"Rain, Overcast"
"Newark, NJ",2018-08-11,"Rain, Overcast"
"Phoenix, AZ",2019-11-06,Partially cloudy
"Arcata/Eureka, CA",2019-08-07,Overcast
"Pittsburgh, PA",2019-04-15,"Rain, Partially cloudy"
"Detroit, MI",2019-03-09,Snow
"Tulsa, OK",2019-04-27,Partially cloudy
"Denver, CO",2018-09-26,Partially cloudy
"Baton Rouge, LA",2019-04-06,"Rain, Partially cloudy"
"Atlanta, GA",2019-09-13,Rain
"Miami, FL",2019-06-04,"Rain, Partially cloudy"
"Phoenix, AZ",2019-06-16,Partially cloudy
"Phoenix, AZ",2019-07-17,Partially cloudy
"Philadelphia, PA",2018-06-15,Partially cloudy
"San Francisco, CA",2019-10-28,Clear
"San Francisco, CA",2019-06-13,Partially cloudy
"Detroit, MI",2018-07-14,Clear
"Rochester, NY",2019-09-05,Partially cloudy
"El Paso, TX",2018-02-28,Partially cloudy
"Denver, CO",2019-04-25,Partially cloudy
"Salt Lake City, UT",2018-07-31,Partially cloudy
"Dallas, TX",2019-08-28,Partially cloudy
"Philadelphia, PA",2019-03-17,Clear
"Dallas/Fort Worth, TX",2018-02-25,Clear
"Santa Ana, CA",2019-11-21,Partially cloudy
"Washington, DC",2019-10-24,Clear
"Wilmington, NC",2019-10-22,Partially cloudy
"Chicago, IL",2019-03-25,Partially cloudy
"Monterey, CA",2019-10-28,Clear
"San Jose, CA",2019-10-23,Clear
"Tampa, FL",2018-05-01,Partially cloudy
"Los Angeles, CA",2019-08-06,Clear
"New York, NY",2019-03-12,Rain
"Chicago, IL",2018-10-26,Overcast
"Los Angeles, CA",2019-08-27,Clear
"Dallas/Fort Worth, TX",2019-09-28,"Rain, Partially cloudy"
"Los Angeles, CA",2018-06-29,Partially cloudy
"Houston, TX",2019-12-09,Partially cloudy
"Santa Ana, CA",2018-05-28,Partially cloudy
"Charlotte, NC",2018-07-09,Clear
"St. Louis, MO",2018-08-30,Partially cloudy
"New Orleans, LA",2018-12-05,Partially cloudy
"Wichita, KS",2018-08-31,Clear
"Appleton, WI",2018-02-07,Partially cloudy
"Boston, MA",2019-06-25,"Rain, Partially cloudy"
"Louisville, KY",2019-09-04,Partially cloudy
"West Palm Beach/Palm Beach, FL",2019-01-17,Partially cloudy
"Boston, MA",2018-09-11,"Rain, Overcast"
"Chicago, IL",2019-03-13,"Rain, Overcast"
"Charlotte, NC",2018-09-03,Partially cloudy
"Chicago, IL",2018-09-28,"Rain, Overcast"
"Fayetteville, AR",2019-07-25,Clear
"Portland, ME",2018-08-10,Partially cloudy
