city,date,conditions
"Cincinnati, OH",2018-06-26,"Rain, Partially cloudy"
"Los Angeles, CA",2018-08-31,Clear
"Albany, NY",2018-08-18,"Rain, Overcast"
"Dallas/Fort Worth, TX",2019-09-07,Clear
"Orlando, FL",2018-05-28,"Rain, Overcast"
"Seattle, WA",2019-03-25,"Rain, Partially cloudy"
"Los Angeles, CA",2018-05-30,Overcast
"Charlottesville, VA",2019-06-11,Rain
"New Orleans, LA",2018-10-23,"Rain, Overcast"
"Norfolk, VA",2019-05-22,Clear
"Dallas/Fort Worth, TX",2018-11-28,Clear
"Hartford, CT",2019-04-21,"Rain, Partially cloudy"
"Sacramento, CA",2019-08-30,Clear
"Miami, FL",2018-06-17,"Rain, Partially cloudy"
"Chicago, IL",2019-01-30,Clear
"New York, NY",2019-10-12,Partially cloudy
"Des Moines, IA",2019-11-12,Partially cloudy
"Spokane, WA",2018-10-26,"Rain, Overcast"
"Yuma, AZ",2018-12-30,Clear
"Minneapolis, MN",2019-06-06,Clear
"Chicago, IL",2019-07-03,"Rain, Partially cloudy"
"Chicago, IL",2019-09-27,"Rain, Partially cloudy"
"Tulsa, OK",2019-04-25,Partially cloudy
"Phoenix, AZ",2019-04-11,Partially cloudy
"Chicago, IL",2019-11-28,Overcast
"Dallas/Fort Worth, TX",2019-05-02,"Rain, Partially cloudy"
"Houston, TX",2019-09-19,"Rain, Partially cloudy"
"Knoxville, TN",2018-01-15,"Snow, Partially cloudy"
"Salt Lake City, UT",2019-05-22,"Rain, Partially cloudy"
"Indianapolis, IN",2019-11-09,Partially cloudy
"Austin, TX",2019-07-21,Partially cloudy
"Chicago, IL",2018-09-08,Overcast
"Houston, TX",2018-07-08,"Rain, Partially cloudy"
"Boston, MA",2019-10-05,Clear
"Atlantic City, NJ",2019-04-12,Overcast
"Charlotte, NC",2018-01-10,Overcast
"Los Angeles, CA",2018-01-09,"Rain, Overcast"
"Dallas/Fort Worth, TX",2018-02-28,"Rain, Overcast"
"Dallas/Fort Worth, TX",2019-10-04,Partially cloudy
"Nashville, TN",2018-03-17,"Rain, Partially cloudy"
"Washington, DC",2018-09-11,Overcast
"Sioux Falls, SD",2019-12-14,Partially cloudy
"Charlotte, NC",2019-05-13,Partially cloudy
"Fort Lauderdale, FL",2019-10-14,Partially cloudy
"Charlotte, NC",2018-05-15,"Rain, Overcast"
"Los Angeles, CA",2019-09-07,Clear
"Honolulu, HI",2018-10-15,"Rain, Partially cloudy"
"Charlotte, NC",2018-02-25,"Rain, Partially cloudy"
"New York, NY",2019-03-03,"Snow, Partially cloudy"
"Denver, CO",2018-11-16,Partially cloudy
"Chicago, IL",2019-01-10,Partially cloudy
"New York, NY",2019-06-02,Rain
"Anchorage, AK",2018-09-19,Overcast
"Houston, TX",2019-04-18,"Rain, Partially cloudy"
"St. Louis, MO",2019-10-09,Clear
"New York, NY",2019-09-11,Rain
"Atlanta, GA",2018-07-08,Partially cloudy
"Fort Lauderdale, FL",2019-08-28,"Rain, Partially cloudy"
"Phoenix, AZ",2018-06-03,Clear
"Dallas/Fort Worth, TX",2018-05-01,Overcast
"San Francisco, CA",2019-06-25,Partially cloudy
"St. Louis, MO",2018-08-01,Clear
"Tampa, FL",2019-09-17,Clear
"Las Vegas, NV",2019-10-03,Clear
"Orlando, FL",2019-10-14,Clear
"Las Vegas, NV",2018-02-27,Partially cloudy
"Detroit, MI",2018-07-21,"Rain, Partially cloudy"
"Houston, TX",2019-03-31,Partially cloudy
"Las Vegas, NV",2019-08-03,Clear
"Miami, FL",2018-07-08,Partially cloudy
"Washington, DC",2019-04-03,Clear
"Phoenix, AZ",2018-01-21,Clear
"Baltimore, MD",2018-08-12,"Rain, Overcast"
"Traverse City, MI",2018-04-16,"Snow, Overcast"
"Las Vegas, NV",2018-01-31,Clear
"Scranton/Wilkes-Barre, PA",2019-12-31,"Rain, Overcast"
"Wenatchee, WA",2018-04-16,"Rain, Partially cloudy"
"Minneapolis, MN",2019-07-09,"Rain, Partially cloudy"
"Kansas City, MO",2018-01-13,"Snow, Overcast"
"Philadelphia, PA",2019-05-30,"Rain, Partially cloudy"
"Detroit, MI",2019-08-20,"Rain, Partially cloudy"
"Los Angeles, CA",2018-12-31,Partially cloudy
"Chicago, IL",2018-08-18,Partially cloudy
"Denver, CO",2019-09-18,Partially cloudy
"Minneapolis, MN",2019-05-14,"Rain, Partially cloudy"
"Denver, CO",2018-07-05,"Rain, Overcast"
"Austin, TX",2019-01-19,Clear
"Lihue, HI",2019-01-13,Partially cloudy
"Dallas/Fort Worth, TX",2018-09-07,"Rain, Partially cloudy"
"Bellingham, WA",2019-01-17,"Rain, Overcast"
"Phoenix, AZ",2018-08-05,Clear
"San Antonio, TX",2019-02-02,Overcast
"Newark, NJ",2019-03-06,"Snow, Partially cloudy"
"Washington, DC",2019-11-11,Partially cloudy
"Dallas, TX",2019-11-01,Clear
"Orlando, FL",2018-06-04,Partially cloudy
"Denver, CO",2019-05-31,"Rain, Partially cloudy"
"Pittsburgh, PA",2019-08-13,"Rain, Overcast"
"San Diego, CA",2018-11-10,Clear
"Charlotte, NC",2018-11-14,"Rain, Overcast"
"West Palm Beach/Palm Beach, FL",2019-09-13,"Rain, Partially cloudy"
"Allentown/Bethlehem/Easton, PA",2019-05-02,Partially cloudy
"Lafayette, LA",2018-03-11,"Rain, Overcast"
"Dallas, TX",2018-08-27,Clear
"Phoenix, AZ",2019-02-22,"Rain, Partially cloudy"
"Portland, OR",2018-04-08,"Rain, Overcast"
"Detroit, MI",2018-07-23,Partially cloudy
"Philadelphia, PA",2018-08-05,Clear
"Las Vegas, NV",2018-04-29,Clear
"Boston, MA",2018-11-20,"Rain, Overcast"
"Buffalo, NY",2019-03-22,"Snow, Overcast"
"Grand Rapids, MI",2019-08-26,"Rain, Partially cloudy"
"Newark, NJ",2019-12-16,"Rain, Partially cloudy"
"Boston, MA",2019-09-14,"Rain, Partially cloudy"
"Charlotte, NC",2018-12-27,"Rain, Overcast"
"Denver, CO",2018-01-19,Overcast
"Las Vegas, NV",2018-04-16,Clear
"San Francisco, CA",2019-07-30,Partially cloudy
"San Diego, CA",2019-08-05,Partially cloudy
"San Francisco, CA",2018-02-10,Partially cloudy
"Los Angeles, CA",2018-03-24,Partially cloudy
"New York, NY",2018-12-24,"Rain, Partially cloudy"
"Omaha, NE",2018-07-18,"Rain, Partially cloudy"
"Louisville, KY",2018-12-19,Partially cloudy
"Dallas, TX",2018-06-25,"Rain, Partially cloudy"
"Minneapolis, MN",2019-07-10,"Rain, Partially cloudy"
"Dallas, TX",2019-03-30,"Rain, Overcast"
"Salt Lake City, UT",2018-02-04,Overcast
"Rochester, NY",2018-12-06,"Snow, Overcast"
"Milwaukee, WI",2018-11-14,Clear
"Newark, NJ",2018-11-09,"Rain, Partially cloudy"
"Detroit, MI",2018-12-31,"Rain, Partially cloudy"
"Denver, CO",2018-04-05,Overcast
"Seattle, WA",2018-09-10,"Rain, Overcast"
"Atlanta, GA",2019-06-05,Partially cloudy
"Denver, CO",2018-04-23,Partially cloudy
"Greensboro/High Point, NC",2019-04-19,"Rain, Overcast"
"Sarasota/Bradenton, FL",2019-11-10,Clear
"New Orleans, LA",2019-04-19,"Rain, Partially cloudy"
"Reno, NV",2018-02-27,"Snow, Partially cloudy"
"Fresno, CA",2019-03-11,Clear
"Philadelphia, PA",2018-07-13,Partially cloudy
"Anchorage, AK",2018-02-21,"Snow, Partially cloudy"
"Salt Lake City, UT",2018-01-29,Partially cloudy
"Nashville, TN",2018-04-11,Partially cloudy
"San Juan, PR",2018-06-19,"Rain, Partially cloudy"
"Oakland, CA",2018-06-28,Clear
"Newark, NJ",2019-02-24,"Rain, Overcast"
"Detroit, MI",2019-03-23,Clear
"Newark, NJ",2018-03-28,"Rain, Overcast"
"Boston, MA",2019-01-22,Partially cloudy
"Minneapolis, MN",2018-04-19,Clear
"Minneapolis, MN",2018-10-13,Partially cloudy
"Atlanta, GA",2018-12-04,Clear
"Kahului, HI",2018-05-21,Clear
"Dallas/Fort Worth, TX",2019-03-29,Partially cloudy
"New York, NY",2018-03-29,Rain
"Chicago, IL",2018-03-01,"Rain, Overcast"
"Detroit, MI",2018-03-24,Clear
"Tucson, AZ",2019-12-07,Clear
"New York, NY",2019-05-17,Rain
"Seattle, WA",2019-09-03,Clear
"Rochester, MN",2018-09-24,Clear
"Little Rock, AR",2019-05-24,Clear
"Chicago, IL",2018-04-25,Partially cloudy
"Phoenix, AZ",2018-06-30,Clear
"Las Vegas, NV",2019-07-02,Clear
"Dallas/Fort Worth, TX",2019-03-26,Clear
"Tucson, AZ",2018-01-19,Clear
"Charlotte, NC",2018-01-07,Partially cloudy
"Chicago, IL",2019-05-10,Partially cloudy
"Washington, DC",2018-08-14,Partially cloudy
"Denver, CO",2019-10-02,"Rain, Partially cloudy"
"Hayden, CO",2018-02-12,"Snow, Partially cloudy"
"Cincinnati, OH",2019-02-01,"Snow, Overcast"
"Washington, DC",2019-10-21,Partially cloudy
"Las Vegas, NV",2018-01-24,Clear
"San Francisco, CA",2018-05-04,Overcast
"New York, NY",2019-03-05,Clear
"Cleveland, OH",2018-07-29,Clear
"Sarasota/Bradenton, FL",2019-04-03,Clear
"Houston, TX",2018-11-14,Clear
"Houston, TX",2019-10-21,"Rain, Partially cloudy"
"Charlotte, NC",2019-02-13,Partially cloudy
"Fort Lauderdale, FL",2018-04-17,Clear
"Sacramento, CA",2018-01-08,"Rain, Overcast"
"Denver, CO",2018-12-16,Clear
"Dayton, OH",2019-07-19,Partially cloudy
"Salt Lake City, UT",2019-02-15,"Snow, Partially cloudy"
"Harlingen/San Benito, TX",2019-05-17,Partially cloudy
"Bismarck/Mandan, ND",2019-02-24,Partially cloudy
"Brunswick, GA",2018-05-06,Partially cloudy
"Dallas/Fort Worth, TX",2018-12-20,Clear
"Dallas/Fort Worth, TX",2019-06-26,Partially cloudy
"Oakland, CA",2019-12-23,Partially cloudy
"Newark, NJ",2019-08-21,"Rain, Partially cloudy"
"Pittsburgh, PA",2019-06-02,"Rain, Partially cloudy"
"Houston, TX",2018-04-09,"Rain, Overcast"
"Milwaukee, WI",2019-09-17,Partially cloudy
"Manchester, NH",2019-10-24,Clear
"Detroit, MI",2019-04-11,"Rain, Partially cloudy"
"Minneapolis, MN",2018-01-15,"Snow, Overcast"
"Raleigh/Durham, NC",2018-11-30,"Rain, Overcast"
"Orlando, FL",2019-06-17,"Rain, Partially cloudy"
"St. Louis, MO",2019-11-06,"Rain, Partially cloudy"
"Boston, MA",2018-01-16,"Snow, Overcast"
"Boston, MA",2019-10-27,"Rain, Partially cloudy"
"Seattle, WA",2018-09-18,Partially cloudy
"Charlotte, NC",2018-06-11,"Rain, Partially cloudy"
"Nashville, TN",2018-02-03,Overcast
"San Francisco, CA",2019-12-02,"Rain, Partially cloudy"
"Charlotte, NC",2019-08-16,Partially cloudy
"Orlando, FL",2018-04-17,Clear
"Salt Lake City, UT",2018-07-13,Partially cloudy
"Washington, DC",2018-06-15,Partially cloudy
"Salt Lake City, UT",2018-12-15,Partially cloudy
"Burlington, VT",2019-03-10,"Snow, Partially cloudy"
"Chicago, IL",2019-10-24,"Rain, Partially cloudy"
