city,date,conditions
"Minneapolis, MN",2019-09-23,Clear
"Chicago, IL",2018-07-21,"Rain, Overcast"
"Austin, TX",2018-05-20,"Rain, Partially cloudy"
"Orlando, FL",2018-05-06,"Rain, Overcast"
"Detroit, MI",2019-12-13,Clear
"Miami, FL",2019-05-01,"Rain, Partially cloudy"
"Tampa, FL",2019-11-12,"Rain, Partially cloudy"
"Akron, OH",2018-10-29,"Rain, Overcast"
"Dallas, TX",2019-02-02,"Rain, Partially cloudy"
"Minneapolis, MN",2018-03-01,Clear
"Chicago, IL",2019-09-15,"Rain, Partially cloudy"
"State College, PA",2019-11-01,Partially cloudy
"St. Louis, MO",2019-01-30,"Snow, Partially cloudy"
"Los Angeles, CA",2019-12-14,Partially cloudy
"Austin, TX",2018-03-20,Clear
"Hartford, CT",2019-05-14,"Rain, Overcast"
"Los Angeles, CA",2019-03-16,Clear
"Salt Lake City, UT",2019-05-31,"Rain, Partially cloudy"
"Chicago, IL",2018-11-18,"Rain, Partially cloudy"
"Portland, OR",2018-03-15,"Rain, Partially cloudy"
"Honolulu, HI",2019-02-16,"Rain, Partially cloudy"
"Seattle, WA",2018-05-15,Partially cloudy
"Grand Rapids, MI",2018-04-19,Rain
"Bismarck/Mandan, ND",2019-05-06,Partially cloudy
"Raleigh/Durham, NC",2018-02-05,Partially cloudy
"San Francisco, CA",2018-05-14,Overcast
"Baltimore, MD",2018-11-24,"Rain, Overcast"
"Lihue, HI",2019-09-29,"Rain, Partially cloudy"
"San Luis Obispo, CA",2018-02-20,Clear
"Lansing, MI",2018-09-18,Clear
"San Francisco, CA",2018-10-08,Clear
"Charleston, SC",2019-07-06,"Rain, Partially cloudy"
"Columbus, OH",2018-07-20,"Rain, Overcast"
"Hayden, CO",2019-03-15,Clear
"Portland, ME",2019-07-01,Partially cloudy
"Philadelphia, PA",2019-08-13,"Rain, Partially cloudy"
"St. Louis, MO",2019-09-26,"Rain, Partially cloudy"
"Colorado Springs, CO",2019-10-01,Partially cloudy
"Cedar Rapids/Iowa City, IA",2018-11-15,Clear
"New Orleans, LA",2019-06-19,Partially cloudy
"Los Angeles, CA",2018-02-22,Clear
"Salt Lake City, UT",2019-08-28,Clear
"Phoenix, AZ",2019-06-25,Clear
"Chicago, IL",2018-07-23,Partially cloudy
"Fort Myers, FL",2018-03-19,Clear
"Omaha, NE",2019-06-04,Partially cloudy
"Palm Springs, CA",2019-12-29,Snow
"Raleigh/Durham, NC",2019-04-06,Overcast
"Reno, NV",2018-07-03,Clear
"New Orleans, LA",2018-10-08,"Rain, Partially cloudy"
"Tallahassee, FL",2019-08-02,"Rain, Partially cloudy"
"Tucson, AZ",2019-02-11,Clear
"Phoenix, AZ",2019-11-18,Partially cloudy
"West Palm Beach/Palm Beach, FL",2019-10-23,Partially cloudy
"Chicago, IL",2019-06-20,"Rain, Overcast"
"Newark, NJ",2018-12-20,"Rain, Partially cloudy"
"Washington, DC",2019-10-22,"Rain, Overcast"
"Houston, TX",2019-11-17,Partially cloudy
"New York, NY",2019-06-04,Clear
"Denver, CO",2019-06-23,"Rain, Partially cloudy"
"Columbia, SC",2019-08-02,"Rain, Partially cloudy"
"Washington, DC",2019-02-21,"Snow, Partially cloudy"
"Atlanta, GA",2018-01-04,Clear
"Detroit, MI",2019-08-02,Clear
"Chicago, IL",2018-02-28,Overcast
"Newark, NJ",2019-02-08,"Rain, Partially cloudy"
"Milwaukee, WI",2018-04-16,"Snow, Overcast"
"New York, NY",2019-09-13,"Rain, Partially cloudy"
"Newark, NJ",2018-05-17,"Rain, Overcast"
"Pittsburgh, PA",2018-08-21,"Rain, Partially cloudy"
"Albany, NY",2019-02-06,"Snow, Partially cloudy"
"Chicago, IL",2018-10-11,Partially cloudy
"Ontario, CA",2019-07-21,Clear
"Miami, FL",2018-01-04,Clear
"Cleveland, OH",2018-04-20,Clear
"Milwaukee, WI",2018-01-08,Partially cloudy
"Atlanta, GA",2018-04-13,Partially cloudy
"San Francisco, CA",2019-03-20,"Rain, Partially cloudy"
"Kansas City, MO",2019-01-20,Partially cloudy
"Detroit, MI",2018-11-23,Clear
"Dallas, TX",2018-06-30,Partially cloudy
"Dayton, OH",2019-04-13,Partially cloudy
"Charlotte, NC",2019-10-18,Partially cloudy
"Dallas/Fort Worth, TX",2018-08-28,Clear
"Las Vegas, NV",2019-07-19,Clear
"Baltimore, MD",2019-09-08,Partially cloudy
"Charleston, SC",2018-11-25,Partially cloudy
"Cleveland, OH",2018-09-12,Partially cloudy
"Las Vegas, NV",2018-06-10,Clear
"Miami, FL",2018-04-13,Partially cloudy
"Houston, TX",2019-07-12,Clear
"Sioux City, IA",2019-03-11,Partially cloudy
"South Bend, IN",2018-03-07,"Snow, Overcast"
"Elmira/Corning, NY",2018-11-13,"Snow, Overcast"
"Columbus, OH",2018-03-28,"Rain, Overcast"
"Dallas/Fort Worth, TX",2019-07-15,Clear
"Oakland, CA",2018-05-18,Overcast
"Albuquerque, NM",2019-06-18,Partially cloudy
"Dallas/Fort Worth, TX",2018-02-21,"Rain, Overcast"
"Charlotte, NC",2018-02-15,Partially cloudy
"Hibbing, MN",2019-04-22,Partially cloudy
"Cincinnati, OH",2019-03-11,Clear
"Denver, CO",2019-10-10,"Snow, Partially cloudy"
"Atlanta, GA",2019-02-21,"Rain, Overcast"
"Long Beach, CA",2018-09-05,Partially cloudy
"Boston, MA",2018-08-11,"Rain, Overcast"
"Washington, DC",2019-02-18,"Rain, Overcast"
"Newark, NJ",2019-02-14,"Snow, Partially cloudy"
"Chicago, IL",2018-03-24,Overcast
"Syracuse, NY",2019-02-12,"Snow, Overcast"
"Washington, DC",2019-11-14,Partially cloudy
"Philadelphia, PA",2019-10-12,Partially cloudy
