city,date,conditions
"West Palm Beach/Palm Beach, FL",2018-03-06,Partially cloudy
"Newark, NJ",2019-05-16,"Rain, Partially cloudy"
"Christiansted, VI",2018-12-26,Rain
"Honolulu, HI",2019-07-14,Partially cloudy
"San Francisco, CA",2018-06-13,Clear
"Huntsville, AL",2019-11-02,Clear
"San Francisco, CA",2019-01-21,"Rain, Partially cloudy"
"Washington, DC",2019-08-01,Partially cloudy
"Washington, DC",2018-04-16,"Rain, Overcast"
"Atlanta, GA",2018-02-27,Clear
"Dallas/Fort Worth, TX",2018-06-22,Clear
"Lafayette, LA",2019-10-19,Clear
"Atlanta, GA",2019-08-03,"Rain, Partially cloudy"
"Shreveport, LA",2018-01-31,Clear
"Austin, TX",2019-01-05,Clear
"Raleigh/Durham, NC",2019-02-28,Partially cloudy
"San Jose, CA",2018-10-12,Clear
"Toledo, OH",2018-03-30,"Rain, Partially cloudy"
"Atlanta, GA",2019-04-01,Clear
"Miami, FL",2019-07-12,"Rain, Partially cloudy"
"Atlanta, GA",2018-01-31,Clear
"Des Moines, IA",2019-11-29,"Rain, Overcast"
"Newark, NJ",2019-04-27,"Rain, Partially cloudy"
"San Jose, CA",2019-01-19,Partially cloudy
"Madison, WI",2019-07-11,Partially cloudy
"Philadelphia, PA",2018-02-14,Overcast
"Boise, ID",2018-03-11,Partially cloudy
"Little Rock, AR",2019-07-07,Partially cloudy
"Dallas, TX",2019-09-04,Clear
"Charlotte, NC",2019-11-12,"Rain, Partially cloudy"
"Charlotte, NC",2019-10-28,Clear
"Columbus, MS",2019-10-24,Clear
"Boston, MA",2018-06-21,Partially cloudy
"Atlanta, GA",2019-06-15,Partially cloudy
"Houston, TX",2018-01-08,"Rain, Partially cloudy"
"Bellingham, WA",2018-03-15,Clear
"Portland, OR",2018-01-15,"Rain, Partially cloudy"
"Chicago, IL",2019-02-06,"Rain, Overcast"
"Milwaukee, WI",2018-12-23,Overcast
"Boston, MA",2019-12-23,Partially cloudy
"Dallas/Fort Worth, TX",2018-09-11,"Rain, Overcast"
"Portland, OR",2018-08-21,Partially cloudy
"Atlanta, GA",2018-04-29,Clear
"Santa Ana, CA",2019-08-05,Partially cloudy
"San Diego, CA",2019-10-11,Clear
"Petersburg, AK",2018-04-10,"Rain, Overcast"
"Charlotte, NC",2019-10-24,Clear
"Las Vegas, NV",2019-01-31,Partially cloudy
"Dallas/Fort Worth, TX",2019-06-30,Partially cloudy
"Milwaukee, WI",2019-10-28,Partially cloudy
"Salt Lake City, UT",2019-11-08,Clear
"Atlanta, GA",2018-04-26,"Rain, Partially cloudy"
"Las Vegas, NV",2018-08-23,Clear
"Pittsburgh, PA",2018-06-06,Overcast
"Detroit, MI",2018-11-25,Partially cloudy
"Honolulu, HI",2018-09-13,"Rain, Overcast"
"St. Louis, MO",2018-03-01,"Rain, Partially cloudy"
"Phoenix, AZ",2018-04-11,Partially cloudy
"Oakland, CA",2019-02-13,"Rain, Overcast"
"Santa Rosa, CA",2019-02-17,Clear
"Birmingham, AL",2018-04-24,Overcast
"Miami, FL",2018-04-16,Partially cloudy
"Tampa, FL",2018-07-21,"Rain, Partially cloudy"
"Colorado Springs, CO",2018-06-26,Clear
"Salt Lake City, UT",2019-06-17,"Rain, Partially cloudy"
"San Jose, CA",2019-06-20,Clear
"Boston, MA",2018-07-26,"Rain, Overcast"
"Great Falls, MT",2019-05-31,Partially cloudy
"Houston, TX",2018-08-12,Partially cloudy
"Sun Valley/Hailey/Ketchum, ID",2018-02-04,Snow
"Boise, ID",2018-08-16,Clear
"Chicago, IL",2019-08-08,"Rain, Partially cloudy"
"Houston, TX",2019-07-02,"Rain, Partially cloudy"
"Newark, NJ",2019-11-02,Partially cloudy
"Oakland, CA",2018-06-05,Partially cloudy
"Houston, TX",2018-03-01,"Rain, Partially cloudy"
"Nashville, TN",2018-08-22,Partially cloudy
"Raleigh/Durham, NC",2018-01-31,Partially cloudy
"Portland, OR",2018-03-11,Clear
"New York, NY",2019-09-05,Clear
"Houston, TX",2018-02-15,Overcast
"Kansas City, MO",2018-01-11,"Snow, Overcast"
"Tampa, FL",2018-07-24,"Rain, Partially cloudy"
"Harrisburg, PA",2018-12-19,Clear
"Denver, CO",2019-01-10,"Snow, Partially cloudy"
"New Orleans, LA",2019-06-22,Partially cloudy
"Washington, DC",2018-05-24,Clear
"Minneapolis, MN",2018-05-30,"Rain, Partially cloudy"
"Chicago, IL",2019-09-16,Partially cloudy
"Washington, DC",2019-07-20,Partially cloudy
"San Diego, CA",2018-09-06,Overcast
"Atlanta, GA",2019-04-15,Rain
"Charlotte, NC",2019-04-29,Partially cloudy
"San Diego, CA",2019-02-17,"Rain, Partially cloudy"
"Los Angeles, CA",2019-06-30,Clear
"Baltimore, MD",2018-06-18,"Rain, Partially cloudy"
"Knoxville, TN",2018-07-30,Partially cloudy
"Houston, TX",2019-05-10,"Rain, Partially cloudy"
"Minneapolis, MN",2018-09-15,Clear
"San Juan, PR",2019-11-12,Partially cloudy
"Cleveland, OH",2018-01-02,"Snow, Partially cloudy"
"Tampa, FL",2018-07-25,"Rain, Partially cloudy"
"St. Louis, MO",2019-11-12,Snow
"Kansas City, MO",2019-04-10,Clear
"Dallas/Fort Worth, TX",2019-04-19,Clear
"Elko, NV",2018-02-03,Partially cloudy
"Philadelphia, PA",2019-10-11,Partially cloudy
"Newark, NJ",2018-05-28,Overcast
"Chicago, IL",2019-04-14,"Rain, Overcast"
"Burbank, CA",2019-02-07,Clear
"Rochester, NY",2018-05-21,Partially cloudy
"Atlanta, GA",2018-08-12,Partially cloudy
"Nashville, TN",2019-03-06,Clear
"Bismarck/Mandan, ND",2019-12-13,"Snow, Partially cloudy"
"Fresno, CA",2018-08-02,Partially cloudy
"Denver, CO",2018-08-18,"Rain, Partially cloudy"
"Newark, NJ",2019-09-03,"Rain, Partially cloudy"
"Houston, TX",2019-11-12,"Rain, Partially cloudy"
"Minneapolis, MN",2019-06-18,Partially cloudy
"Houston, TX",2019-06-13,Partially cloudy
"Bemidji, MN",2019-04-04,Partially cloudy
"Tampa, FL",2018-10-11,"Rain, Partially cloudy"
"Memphis, TN",2019-11-19,Rain
"Lanai, HI",2018-06-21,Partially cloudy
"Seattle, WA",2018-09-30,"Rain, Overcast"
"Honolulu, HI",2019-06-02,Partially cloudy
"Atlanta, GA",2018-11-17,Clear
"Atlanta, GA",2018-03-12,"Rain, Partially cloudy"
"Nashville, TN",2019-12-16,"Rain, Overcast"
"West Palm Beach/Palm Beach, FL",2019-04-27,Partially cloudy
"Houston, TX",2018-04-18,Overcast
"Las Vegas, NV",2019-11-19,"Rain, Partially cloudy"
"Phoenix, AZ",2018-03-29,Partially cloudy
"Washington, DC",2019-04-16,Partially cloudy
"Santa Barbara, CA",2018-02-24,Clear
"Boston, MA",2019-10-07,"Rain, Partially cloudy"
"Atlanta, GA",2019-07-20,"Rain, Partially cloudy"
"Los Angeles, CA",2019-11-11,Partially cloudy
"Phoenix, AZ",2019-02-17,Partially cloudy
"Wrangell, AK",2018-04-10,"Rain, Partially cloudy"
"San Diego, CA",2019-08-30,Partially cloudy
"Newark, NJ",2018-09-01,Overcast
"Los Angeles, CA",2019-04-19,Partially cloudy
"Philadelphia, PA",2018-09-16,Partially cloudy
"Washington, DC",2018-07-20,Overcast
"New York, NY",2019-08-14,"Rain, Partially cloudy"
"Palm Springs, CA",2019-09-09,Clear
"Washington, DC",2019-04-02,"Rain, Overcast"
"Chicago, IL",2019-02-12,"Snow, Overcast"
"Amarillo, TX",2018-09-12,Clear
"Chattanooga, TN",2019-03-05,Clear
"Seattle, WA",2018-01-02,Partially cloudy
"Columbus, OH",2018-05-11,Partially cloudy
"Newport News/Williamsburg, VA",2018-02-02,"Rain, Partially cloudy"
"Boston, MA",2018-05-22,"Rain, Overcast"
"Boston, MA",2019-10-01,"Rain, Overcast"
"Austin, TX",2019-06-01,Partially cloudy
"Oklahoma City, OK",2018-09-06,"Rain, Overcast"
"Cincinnati, OH",2019-12-30,"Rain, Overcast"
"Minneapolis, MN",2018-04-07,Clear
"Rochester, NY",2018-08-27,Overcast
"Dallas/Fort Worth, TX",2019-04-04,Partially cloudy
"Albany, NY",2019-12-14,"Rain, Overcast"
"Nashville, TN",2019-02-24,Clear
"Chicago, IL",2018-10-03,Overcast
"Portland, OR",2019-08-01,Clear
"Raleigh/Durham, NC",2018-08-12,"Rain, Partially cloudy"
"New York, NY",2019-08-21,"Rain, Partially cloudy"
"Baltimore, MD",2019-09-04,"Rain, Partially cloudy"
"Charlotte, NC",2018-10-12,Clear
"Mosinee, WI",2019-10-30,Partially cloudy
"Philadelphia, PA",2018-04-19,"Rain, Overcast"
"Philadelphia, PA",2018-10-13,"Rain, Partially cloudy"
"Burbank, CA",2018-11-13,Clear
"El Paso, TX",2019-05-06,Partially cloudy
"Los Angeles, CA",2019-11-25,Clear
"Atlanta, GA",2019-10-24,Clear
"New Orleans, LA",2018-10-29,Partially cloudy
"Phoenix, AZ",2019-08-30,Clear
"Cleveland, OH",2019-07-23,Partially cloudy
"Chicago, IL",2018-11-07,Overcast
"Newark, NJ",2019-12-12,Partially cloudy
"Charlotte, NC",2018-11-05,"Rain, Overcast"
"Portland, OR",2019-06-04,Clear
"Columbus, OH",2019-01-31,"Snow, Partially cloudy"
"San Francisco, CA",2019-03-11,Clear
"San Francisco, CA",2019-06-09,Partially cloudy
"Charlotte, NC",2018-11-20,Partially cloudy
"New York, NY",2019-09-10,"Rain, Partially cloudy"
"Salt Lake City, UT",2019-07-08,Partially cloudy
"Sanford, FL",2018-11-25,Partially cloudy
"Washington, DC",2019-10-31,"Rain, Overcast"
"Columbus, OH",2019-07-29,Partially cloudy
"New York, NY",2019-03-21,"Rain, Partially cloudy"
"Nashville, TN",2019-05-07,Partially cloudy
"Houston, TX",2018-05-21,"Rain, Partially cloudy"
"Fort Myers, FL",2019-10-12,Partially cloudy
"White Plains, NY",2019-12-10,"Snow, Overcast"
"Dallas, TX",2019-06-30,Partially cloudy
"Dayton, OH",2019-01-08,Partially cloudy
"Portland, OR",2018-10-21,Clear
"Greensboro/High Point, NC",2018-11-09,"Rain, Overcast"
"Buffalo, NY",2019-07-12,Partially cloudy
"Minneapolis, MN",2018-03-18,Partially cloudy
"Orlando, FL",2018-10-09,"Rain, Partially cloudy"
"Charlotte, NC",2018-11-29,Partially cloudy
"Oklahoma City, OK",2019-06-23,"Rain, Partially cloudy"
"Houston, TX",2018-01-28,"Rain, Partially cloudy"
"Chicago, IL",2019-08-25,Partially cloudy
"Portland, OR",2018-06-01,Partially cloudy
"Louisville, KY",2019-12-06,"Rain, Overcast"
"San Francisco, CA",2019-10-05,Clear
"Little Rock, AR",2019-11-19,Clear
"San Jose, CA",2019-12-20,Partially cloudy
"San Diego, CA",2019-02-28,Partially cloudy
"Albany, NY",2019-07-06,"Rain, Partially cloudy"
"Baltimore, MD",2019-06-12,"Rain, Partially cloudy"
"Dallas/Fort Worth, TX",2018-06-15,Clear
"Chicago, IL",2019-07-11,Partially cloudy
"Louisville, KY",2019-12-12,Partially cloudy
"San Diego, CA",2018-04-13,Clear
"Nashville, TN",2019-08-21,Partially cloudy
"Birmingham, AL",2018-04-02,Partially cloudy
"Charlotte Amalie, VI",2018-04-17,Clear
"Chicago, IL",2019-05-09,"Rain, Overcast"
"Orlando, FL",2019-10-24,Partially cloudy
"Los Angeles, CA",2018-10-21,Clear
"Santa Ana, CA",2018-07-16,Partially cloudy
"Minneapolis, MN",2019-08-31,Partially cloudy
"Oklahoma City, OK",2019-05-01,"Rain, Overcast"
"Chattanooga, TN",2019-08-29,Clear
"Chicago, IL",2019-10-30,"Snow, Overcast"
"Key West, FL",2018-04-29,Clear
"Columbus, OH",2018-09-25,"Rain, Overcast"
"Tampa, FL",2019-01-28,"Rain, Partially cloudy"
"Memphis, TN",2019-10-29,"Rain, Overcast"
"New York, NY",2019-05-22,Rain
"Anchorage, AK",2018-03-12,"Snow, Partially cloudy"
"Omaha, NE",2018-06-10,"Rain, Partially cloudy"
"Sioux Falls, SD",2019-07-02,Partially cloudy
"Dallas/Fort Worth, TX",2018-02-03,Overcast
"Idaho Falls, ID",2018-06-03,Clear
"Houston, TX",2018-08-13,Partially cloudy
"San Francisco, CA",2018-07-03,Partially cloudy
"Boston, MA",2018-04-01,Overcast
"Chicago, IL",2019-07-13,"Rain, Partially cloudy"
"Sacramento, CA",2018-01-13,Overcast
"Indianapolis, IN",2018-10-05,"Rain, Overcast"
"Oklahoma City, OK",2019-10-10,"Rain, Partially cloudy"
"San Diego, CA",2019-10-22,Clear
"Houston, TX",2018-08-27,"Rain, Partially cloudy"
"Denver, CO",2018-03-31,Partially cloudy
"Las Vegas, NV",2019-11-30,Clear
"Boston, MA",2019-09-11,Partially cloudy
"Fargo, ND",2019-09-02,"Rain, Partially cloudy"
"Newark, NJ",2019-10-02,"Rain, Partially cloudy"
"Phoenix, AZ",2018-01-04,Partially cloudy
"Chicago, IL",2019-09-04,Partially cloudy
"Houston, TX",2018-08-31,Partially cloudy
"Washington, DC",2019-01-14,"Snow, Partially cloudy"
"New York, NY",2018-03-27,Clear
"Chicago, IL",2018-10-18,Clear
"Charlotte, NC",2019-03-23,Clear
"Newark, NJ",2019-08-13,"Rain, Partially cloudy"
"Nashville, TN",2019-07-07,"Rain, Partially cloudy"
"Durango, CO",2019-11-07,Clear
"Minneapolis, MN",2019-04-08,Rain
"Chicago, IL",2019-01-04,Clear
"Charlotte, NC",2018-10-27,Overcast
"Newark, NJ",2019-07-01,Rain
"Washington, DC",2019-09-15,Partially cloudy
"Orlando, FL",2019-11-07,Partially cloudy
"Sioux Falls, SD",2018-12-09,Partially cloudy
"Charlotte, NC",2019-12-15,Clear
"Minneapolis, MN",2019-03-29,Clear
"San Diego, CA",2018-01-31,Partially cloudy
"Little Rock, AR",2018-02-09,"Rain, Overcast"
"Las Vegas, NV",2019-02-07,Clear
"Pellston, MI",2018-08-15,Partially cloudy
"Atlanta, GA",2018-08-27,Clear
"Santa Ana, CA",2019-06-25,Overcast
"Richmond, VA",2019-09-24,Partially cloudy
"Houston, TX",2019-08-20,"Rain, Partially cloudy"
"Salt Lake City, UT",2018-09-22,Clear
"Atlanta, GA",2018-08-31,Partially cloudy
"Seattle, WA",2018-12-21,Partially cloudy
"Denver, CO",2018-08-30,Partially cloudy
"Detroit, MI",2018-07-18,Clear
"Sacramento, CA",2019-05-08,Partially cloudy
"Jacksonville, FL",2018-12-02,"Rain, Overcast"
"Nashville, TN",2019-05-22,Partially cloudy
"Santa Ana, CA",2019-06-30,Clear
"Punta Gorda, FL",2018-06-10,Rain
"St. Louis, MO",2019-06-28,Rain
"Dallas/Fort Worth, TX",2019-09-12,Partially cloudy
"Oakland, CA",2019-09-23,Partially cloudy
"Detroit, MI",2018-11-08,Overcast
"Atlanta, GA",2018-10-12,Clear
"Montrose/Delta, CO",2018-09-20,Clear
"New York, NY",2019-04-23,Rain
"Minneapolis, MN",2018-12-03,Overcast
"Kona, HI",2019-06-07,Partially cloudy
"Punta Gorda, FL",2019-11-23,Clear
"Seattle, WA",2018-12-29,"Rain, Overcast"
"Fayetteville, AR",2018-10-11,Clear
"Charleston, SC",2018-06-09,"Rain, Partially cloudy"
"Charlotte, NC",2019-12-31,Clear
"Chicago, IL",2019-06-12,"Rain, Partially cloudy"
"Portland, OR",2018-07-20,Clear
"Phoenix, AZ",2018-01-17,Partially cloudy
"Dallas/Fort Worth, TX",2019-10-13,Partially cloudy
"Chattanooga, TN",2018-09-24,"Rain, Overcast"
"Fresno, CA",2019-08-06,Partially cloudy
"Seattle, WA",2018-03-01,"Rain, Partially cloudy"
"Phoenix, AZ",2019-10-03,Clear
"Newark, NJ",2018-09-05,Partially cloudy
"New York, NY",2018-03-06,Clear
"Chicago, IL",2019-08-12,"Rain, Partially cloudy"
"Oakland, CA",2019-09-13,Partially cloudy
"Houston, TX",2019-06-28,"Rain, Partially cloudy"
"Wichita, KS",2019-01-31,Partially cloudy
"Atlanta, GA",2019-09-15,Partially cloudy
"Atlanta, GA",2018-11-20,"Rain, Partially cloudy"
"Atlanta, GA",2018-10-19,Partially cloudy
"Juneau, AK",2018-08-13,"Rain, Overcast"
"Minneapolis, MN",2019-05-15,"Rain, Partially cloudy"
"Peoria, IL",2018-05-11,Clear
"Newark, NJ",2018-04-17,"Rain, Overcast"
"Los Angeles, CA",2018-11-02,Clear
"Phoenix, AZ",2018-01-31,Partially cloudy
"Detroit, MI",2019-07-17,"Rain, Partially cloudy"
"Washington, DC",2019-07-19,Clear
"Austin, TX",2018-05-10,Partially cloudy
"Prescott, AZ",2019-12-09,Partially cloudy
"Fort Lauderdale, FL",2018-03-13,Clear
"Minneapolis, MN",2018-12-20,Overcast
"Los Angeles, CA",2019-04-06,Partially cloudy
"Pocatello, ID",2019-03-16,Clear
"Minneapolis, MN",2018-07-28,"Rain, Partially cloudy"
"El Paso, TX",2018-12-15,Partially cloudy
"Chicago, IL",2018-06-17,Partially cloudy
"Chicago, IL",2018-08-20,"Rain, Overcast"
"Baltimore, MD",2018-09-11,"Rain, Overcast"
"West Palm Beach/Palm Beach, FL",2019-03-09,"Rain, Partially cloudy"
"New Orleans, LA",2019-12-05,Partially cloudy
"Fayetteville, NC",2019-03-03,"Rain, Overcast"
"San Jose, CA",2019-11-03,Clear
"Fresno, CA",2019-04-07,Partially cloudy
"New York, NY",2018-12-03,"Rain, Partially cloudy"
"Grand Junction, CO",2018-03-05,Clear
"Los Angeles, CA",2018-06-05,Partially cloudy
"San Francisco, CA",2019-01-22,Partially cloudy
"Fort Lauderdale, FL",2019-08-14,"Rain, Partially cloudy"
"Minneapolis, MN",2019-03-01,"Snow, Partially cloudy"
"Denver, CO",2019-05-12,Partially cloudy
"Key West, FL",2019-10-28,Clear
"Los Angeles, CA",2019-12-08,"Rain, Partially cloudy"
"Nashville, TN",2018-01-18,Clear
"Yuma, AZ",2018-05-17,Clear
"Fayetteville, AR",2018-01-18,Clear
"Aspen, CO",2018-02-25,Partially cloudy
"Columbus, OH",2018-03-26,Partially cloudy
"Atlanta, GA",2019-05-02,Clear
"Austin, TX",2019-05-17,Partially cloudy
"St. Petersburg, FL",2019-05-24,Clear
"Atlanta, GA",2019-06-20,"Rain, Partially cloudy"
"Salt Lake City, UT",2019-02-28,"Rain, Partially cloudy"
"Chicago, IL",2018-06-16,"Rain, Partially cloudy"
"Denver, CO",2018-08-13,Clear
"Dallas/Fort Worth, TX",2018-01-04,Partially cloudy
"Washington, DC",2019-12-15,Partially cloudy
"Sacramento, CA",2019-11-26,"Rain, Partially cloudy"
"Philadelphia, PA",2018-10-16,"Rain, Partially cloudy"
"Phoenix, AZ",2018-01-08,Partially cloudy
"Washington, DC",2018-01-18,Clear
"Atlanta, GA",2018-10-11,"Rain, Partially cloudy"
"Fort Myers, FL",2018-04-19,Clear
"Seattle, WA",2019-04-12,"Rain, Overcast"
"Fort Myers, FL",2018-05-25,"Rain, Partially cloudy"
"Cincinnati, OH",2019-01-17,"Rain, Overcast"
"Houston, TX",2019-12-15,Partially cloudy
"Philadelphia, PA",2018-03-23,Partially cloudy
"New York, NY",2018-05-17,"Rain, Partially cloudy"
"Phoenix, AZ",2019-04-05,Partially cloudy
"Portland, OR",2019-05-07,Clear
"Denver, CO",2019-04-24,Partially cloudy
"Charlotte, NC",2018-09-14,"Rain, Overcast"
"Charlotte, NC",2018-01-21,Clear
"Austin, TX",2018-05-25,Partially cloudy
"Denver, CO",2018-09-15,Clear
"Newark, NJ",2019-03-28,Partially cloudy
"Raleigh/Durham, NC",2019-09-15,Partially cloudy
"Bellingham, WA",2018-08-22,Overcast
"San Francisco, CA",2019-04-26,Partially cloudy
"Indianapolis, IN",2018-11-07,Partially cloudy
"Minneapolis, MN",2018-01-25,"Snow, Overcast"
"Atlanta, GA",2018-10-15,Partially cloudy
"Boston, MA",2018-05-25,Partially cloudy
"Boston, MA",2018-08-10,Partially cloudy
"Orlando, FL",2018-11-28,Clear
"San Diego, CA",2019-05-29,Partially cloudy
"Des Moines, IA",2018-11-06,Overcast
"San Francisco, CA",2018-11-24,"Rain, Overcast"
"San Antonio, TX",2019-07-02,Partially cloudy
"Milwaukee, WI",2019-09-16,Partially cloudy
"Houston, TX",2018-09-20,Rain
"San Francisco, CA",2019-09-09,Partially cloudy
"Denver, CO",2019-08-20,"Rain, Partially cloudy"
"Los Angeles, CA",2018-01-04,Partially cloudy
"Minneapolis, MN",2019-03-15,Partially cloudy
"Washington, DC",2019-02-06,"Rain, Partially cloudy"
"Ontario, CA",2019-01-05,"Rain, Partially cloudy"
"Memphis, TN",2019-08-13,Rain
"Baltimore, MD",2019-08-18,"Rain, Partially cloudy"
"Seattle, WA",2019-01-06,"Rain, Overcast"
"Atlanta, GA",2019-12-15,Partially cloudy
"San Antonio, TX",2018-03-12,Partially cloudy
"Phoenix, AZ",2018-01-22,Partially cloudy
"Phoenix, AZ",2018-08-12,Overcast
"Portland, OR",2019-08-21,"Rain, Partially cloudy"
"New York, NY",2019-02-14,Rain
"Honolulu, HI",2018-02-27,Overcast
"Honolulu, HI",2019-08-03,Partially cloudy
"Philadelphia, PA",2019-10-08,"Rain, Partially cloudy"
"Gunnison, CO",2019-06-03,"Rain, Partially cloudy"
"Seattle, WA",2019-06-07,"Rain, Overcast"
"Orlando, FL",2018-04-07,"Rain, Partially cloudy"
"Dallas/Fort Worth, TX",2019-08-03,"Rain, Partially cloudy"
"Orlando, FL",2018-04-30,Clear
"Minneapolis, MN",2018-07-11,"Rain, Partially cloudy"
"Chicago, IL",2019-06-30,"Rain, Partially cloudy"
"Tulsa, OK",2019-04-07,Partially cloudy
"Cincinnati, OH",2019-11-30,"Rain, Overcast"
"Montgomery, AL",2019-12-22,"Rain, Overcast"
"Charlotte, NC",2018-10-26,"Rain, Overcast"
"Newark, NJ",2018-10-06,"Rain, Overcast"
"Dallas/Fort Worth, TX",2019-05-24,Partially cloudy
"Chicago, IL",2019-10-25,Partially cloudy
