city,date,conditions
"Milwaukee, WI",2019-01-27,"Snow, Partially cloudy"
"Chicago, IL",2019-11-15,Partially cloudy
"Chattanooga, TN",2019-08-03,"Rain, Partially cloudy"
"Dallas/Fort Worth, TX",2019-04-10,Partially cloudy
"Memphis, TN",2019-06-12,Partially cloudy
"Columbia, SC",2019-03-17,Clear
"Atlanta, GA",2019-08-14,"Rain, Partially cloudy"
"Denver, CO",2018-07-20,Partially cloudy
"Oakland, CA",2018-08-26,Partially cloudy
"Denver, CO",2018-10-29,Overcast
"Washington, DC",2019-10-04,Partially cloudy
"Philadelphia, PA",2018-09-17,"Rain, Overcast"
"Atlanta, GA",2018-01-09,Partially cloudy
"Denver, CO",2019-04-02,Partially cloudy
"Shreveport, LA",2019-06-18,Clear
"Atlanta, GA",2019-08-20,Partially cloudy
"Dallas, TX",2019-06-06,"Rain, Partially cloudy"
"Ontario, CA",2018-03-26,Partially cloudy
"New York, NY",2019-02-06,Rain
"Grand Junction, CO",2019-08-23,Clear
"Atlanta, GA",2019-06-18,"Rain, Partially cloudy"
"Nashville, TN",2019-03-23,Partially cloudy
"Washington, DC",2018-12-31,"Rain, Overcast"
"Charlotte, NC",2019-05-06,Partially cloudy
"Chattanooga, TN",2019-06-15,Partially cloudy
"Cincinnati, OH",2019-02-02,Partially cloudy
"Philadelphia, PA",2019-07-12,Partially cloudy
"Dallas, TX",2018-01-14,Clear
"Chicago, IL",2019-01-05,Partially cloudy
"Chicago, IL",2018-06-21,"Rain, Overcast"
"Louisville, KY",2019-06-30,"Rain, Partially cloudy"
"Chicago, IL",2019-09-18,Partially cloudy
"San Diego, CA",2019-04-05,"Rain, Partially cloudy"
"Orlando, FL",2018-03-28,Clear
"San Francisco, CA",2018-02-28,"Rain, Overcast"
"Columbus, OH",2019-09-22,Partially cloudy
"Nashville, TN",2018-03-24,"Rain, Overcast"
"Charlotte, NC",2018-05-11,Partially cloudy
"Fort Myers, FL",2019-12-11,"Rain, Partially cloudy"
"San Diego, CA",2019-03-08,"Rain, Partially cloudy"
"Denver, CO",2019-03-11,Partially cloudy
"Philadelphia, PA",2019-05-24,"Rain, Partially cloudy"
"Spokane, WA",2019-06-22,Partially cloudy
"Greer, SC",2019-09-07,Clear
"Columbus, MS",2019-07-29,Clear
"Fort Myers, FL",2018-02-03,Partially cloudy
"San Francisco, CA",2019-11-04,Clear
"Houston, TX",2019-10-19,Clear
"Fort Lauderdale, FL",2018-08-17,Partially cloudy
"Newark, NJ",2019-04-19,Partially cloudy
"Houston, TX",2019-07-07,Rain
"Las Vegas, NV",2018-08-20,Clear
"Minot, ND",2019-07-17,"Rain, Partially cloudy"
"Washington, DC",2018-05-01,Clear
"Minneapolis, MN",2018-06-07,Partially cloudy
"Gulfport/Biloxi, MS",2019-05-08,Partially cloudy
"Nashville, TN",2018-11-24,"Rain, Partially cloudy"
"Chicago, IL",2018-09-18,"Rain, Partially cloudy"
"Charlotte, NC",2019-10-17,Clear
"Alexandria, LA",2018-04-19,Clear
"Denver, CO",2019-10-26,Partially cloudy
"Charlotte, NC",2018-03-06,"Rain, Overcast"
"Atlanta, GA",2018-02-16,"Rain, Overcast"
"Milwaukee, WI",2018-03-03,Partially cloudy
"Jacksonville, FL",2019-12-01,Partially cloudy
"Fargo, ND",2018-12-21,"Snow, Overcast"
"Pittsburgh, PA",2018-07-24,Partially cloudy
"Washington, DC",2018-10-27,"Rain, Overcast"
"Atlanta, GA",2018-08-19,"Rain, Overcast"
"Baton Rouge, LA",2019-07-26,Clear
"Kansas City, MO",2018-05-03,Partially cloudy
"Chicago, IL",2019-12-12,Overcast
"Dallas, TX",2018-06-26,Partially cloudy
"Atlanta, GA",2018-04-07,"Rain, Overcast"
"Missoula, MT",2019-06-18,Partially cloudy
"Grand Rapids, MI",2018-07-21,"Rain, Overcast"
"Boise, ID",2018-11-05,Partially cloudy
"Eugene, OR",2018-04-26,Partially cloudy
"Los Angeles, CA",2018-11-15,Clear
"San Francisco, CA",2018-11-01,Partially cloudy
"Houston, TX",2019-01-27,"Rain, Partially cloudy"
"New York, NY",2019-05-30,"Rain, Partially cloudy"
"Phoenix, AZ",2019-03-08,Partially cloudy
"Houston, TX",2019-12-19,Partially cloudy
"Detroit, MI",2019-08-22,"Rain, Partially cloudy"
"Seattle, WA",2018-11-04,Overcast
"Little Rock, AR",2018-08-02,Clear
"Honolulu, HI",2018-09-08,Partially cloudy
"Charleston, SC",2018-05-12,Clear
"Pittsburgh, PA",2019-05-18,"Rain, Partially cloudy"
"Aspen, CO",2018-12-30,Partially cloudy
"Columbia, MO",2019-03-09,"Rain, Overcast"
"Miami, FL",2018-04-30,Partially cloudy
"San Diego, CA",2018-04-25,Overcast
"Tulsa, OK",2019-10-01,Clear
"Atlanta, GA",2018-05-01,Clear
"Philadelphia, PA",2019-04-05,"Rain, Overcast"
"New York, NY",2019-04-14,Partially cloudy
"Columbia, SC",2019-08-16,"Rain, Partially cloudy"
"Detroit, MI",2018-06-11,Partially cloudy
"Seattle, WA",2018-08-22,Partially cloudy
"Tallahassee, FL",2019-03-27,"Rain, Partially cloudy"
"Greer, SC",2018-05-01,Clear
"Denver, CO",2019-03-12,Partially cloudy
"Baltimore, MD",2018-11-30,Overcast
"Dallas/Fort Worth, TX",2019-06-19,"Rain, Partially cloudy"
"College Station/Bryan, TX",2019-10-04,Clear
"New York, NY",2018-08-05,Clear
"Boston, MA",2019-04-06,"Rain, Partially cloudy"
"Salt Lake City, UT",2018-01-17,Partially cloudy
"Santa Ana, CA",2018-06-19,Partially cloudy
"Pellston, MI",2018-04-05,Partially cloudy
"Atlanta, GA",2018-12-26,Partially cloudy
"San Francisco, CA",2018-09-20,Clear
"Washington, DC",2018-03-03,"Rain, Partially cloudy"
"Las Vegas, NV",2018-01-06,Partially cloudy
"Baltimore, MD",2019-06-17,"Rain, Partially cloudy"
"Grand Rapids, MI",2019-06-20,"Rain, Overcast"
"Charlotte, NC",2018-05-17,"Rain, Overcast"
"Boston, MA",2018-06-05,"Rain, Overcast"
"White Plains, NY",2018-10-15,"Rain, Overcast"
"New York, NY",2019-02-15,"Rain, Partially cloudy"
"Miami, FL",2018-12-26,"Rain, Partially cloudy"
"Dallas/Fort Worth, TX",2018-03-11,Partially cloudy
"Reno, NV",2018-08-28,Clear
"Dayton, OH",2018-01-07,"Snow, Partially cloudy"
"Los Angeles, CA",2019-07-03,Partially cloudy
"Des Moines, IA",2019-06-16,Partially cloudy
"Los Angeles, CA",2019-09-27,Overcast
"Dallas, TX",2018-12-22,Partially cloudy
"Wichita, KS",2019-02-12,Partially cloudy
"Las Vegas, NV",2018-07-14,"Rain, Partially cloudy"
"Atlanta, GA",2019-12-30,"Rain, Partially cloudy"
"Philadelphia, PA",2018-03-01,"Rain, Overcast"
"Denver, CO",2018-12-07,Partially cloudy
"Chicago, IL",2019-10-02,"Rain, Overcast"
"Philadelphia, PA",2018-02-15,"Rain, Overcast"
"Denver, CO",2018-06-08,Partially cloudy
"New York, NY",2018-07-13,Clear
"Denver, CO",2019-09-10,Partially cloudy
"Cincinnati, OH",2018-11-23,Clear
"St. Louis, MO",2019-01-31,Partially cloudy
"Tampa, FL",2019-04-22,Clear
"Pittsburgh, PA",2018-01-18,Clear
"Minneapolis, MN",2019-12-13,"Snow, Partially cloudy"
"Las Vegas, NV",2019-10-16,Clear
"Richmond, VA",2019-07-28,Partially cloudy
"Baltimore, MD",2019-09-28,Partially cloudy
"Dallas/Fort Worth, TX",2018-08-18,"Rain, Partially cloudy"
"Nashville, TN",2018-02-20,Partially cloudy
"Chicago, IL",2018-08-01,"Rain, Partially cloudy"
"Columbus, OH",2019-06-12,"Rain, Partially cloudy"
"Cincinnati, OH",2018-02-22,"Rain, Overcast"
"Dallas/Fort Worth, TX",2018-08-06,Partially cloudy
"Houston, TX",2019-12-17,Partially cloudy
"New York, NY",2018-10-03,Rain
"Little Rock, AR",2018-10-24,Overcast
"Washington, DC",2019-03-26,Partially cloudy
"Houston, TX",2019-01-31,"Rain, Overcast"
"Denver, CO",2019-07-07,"Rain, Partially cloudy"
"Kansas City, MO",2019-06-09,Partially cloudy
"Kansas City, MO",2019-03-11,Clear
"Dallas/Fort Worth, TX",2019-04-25,Partially cloudy
"Dayton, OH",2018-06-05,"Rain, Partially cloudy"
"Las Vegas, NV",2018-12-16,Clear
"Springfield, MO",2019-06-10,Clear
"Miami, FL",2018-07-10,"Rain, Partially cloudy"
"Atlanta, GA",2018-05-11,Clear
"Chicago, IL",2019-10-01,Partially cloudy
"Bend/Redmond, OR",2018-04-29,Partially cloudy
"New York, NY",2018-02-09,Clear
"Cedar City, UT",2019-07-20,Clear
"Washington, DC",2018-09-02,Partially cloudy
"New York, NY",2019-09-22,Clear
"Houston, TX",2018-12-03,Clear
"Oakland, CA",2019-02-24,Partially cloudy
"Tulsa, OK",2019-06-06,"Rain, Partially cloudy"
"Phoenix, AZ",2018-03-31,Overcast
"Newark, NJ",2019-07-17,"Rain, Partially cloudy"
"Portland, OR",2019-10-04,"Rain, Overcast"
"Chicago, IL",2019-08-06,"Rain, Partially cloudy"
"Jackson/Vicksburg, MS",2018-02-26,"Rain, Partially cloudy"
"Des Moines, IA",2019-08-22,Partially cloudy
"Omaha, NE",2019-11-29,"Rain, Overcast"
"Dallas/Fort Worth, TX",2018-06-06,"Rain, Partially cloudy"
"Kansas City, MO",2019-02-24,Clear
"West Palm Beach/Palm Beach, FL",2019-03-28,"Rain, Partially cloudy"
"Santa Barbara, CA",2018-05-09,Clear
"Fort Lauderdale, FL",2019-07-24,"Rain, Partially cloudy"
"Chicago, IL",2018-06-29,Partially cloudy
"Chicago, IL",2019-02-19,Partially cloudy
"St. Louis, MO",2018-05-17,Clear
"San Francisco, CA",2018-02-20,Partially cloudy
"Portland, ME",2019-07-22,"Rain, Partially cloudy"
"San Francisco, CA",2018-09-02,Partially cloudy
"Phoenix, AZ",2019-12-09,"Rain, Partially cloudy"
"Charleston, SC",2018-07-01,"Rain, Partially cloudy"
"Los Angeles, CA",2018-08-06,Clear
"Atlanta, GA",2019-07-29,"Rain, Partially cloudy"
"Charlotte, NC",2018-05-20,"Rain, Overcast"
"Chicago, IL",2019-06-17,Overcast
"St. Louis, MO",2018-01-26,Partially cloudy
"Denver, CO",2018-06-10,Partially cloudy
"Alexandria, LA",2019-04-25,"Rain, Partially cloudy"
"Houston, TX",2018-02-08,Overcast
"Minneapolis, MN",2018-08-11,Partially cloudy
"Chicago, IL",2019-07-05,"Rain, Partially cloudy"
"Kona, HI",2019-09-29,"Rain, Partially cloudy"
"Columbia, SC",2019-01-10,Clear
"Salt Lake City, UT",2019-08-11,Partially cloudy
"Austin, TX",2019-10-22,Clear
"Houston, TX",2019-12-22,Clear
"Atlanta, GA",2018-12-03,Partially cloudy
"Fort Lauderdale, FL",2018-07-12,"Rain, Partially cloudy"
"Honolulu, HI",2018-12-29,"Rain, Partially cloudy"
"Charlotte, NC",2019-01-17,"Rain, Partially cloudy"
"Alexandria, LA",2018-08-09,Rain
"Newark, NJ",2018-08-10,Partially cloudy
"Redding, CA",2019-11-27,"Rain, Partially cloudy"
"Boston, MA",2019-09-26,"Rain, Partially cloudy"
"Kona, HI",2018-10-15,"Rain, Partially cloudy"
"St. Louis, MO",2019-03-13,"Rain, Partially cloudy"
"Las Vegas, NV",2018-05-15,Clear
"Dallas/Fort Worth, TX",2018-07-17,Clear
"Honolulu, HI",2018-02-15,"Rain, Partially cloudy"
"Spokane, WA",2019-06-18,Partially cloudy
"Atlanta, GA",2018-04-24,"Rain, Overcast"
"Saginaw/Bay City/Midland, MI",2019-02-12,"Snow, Overcast"
"Jacksonville, FL",2018-03-02,Partially cloudy
"Rochester, MN",2019-06-25,Clear
"St. Louis, MO",2019-02-14,Clear
"Chicago, IL",2019-03-19,Partially cloudy
"Chicago, IL",2019-09-28,"Rain, Overcast"
"Phoenix, AZ",2019-11-07,Partially cloudy
"Denver, CO",2018-07-15,"Rain, Overcast"
"Washington, DC",2018-09-28,"Rain, Overcast"
"Salt Lake City, UT",2019-07-20,Partially cloudy
"Denver, CO",2019-05-06,"Rain, Partially cloudy"
"San Francisco, CA",2018-10-26,Partially cloudy
"Chicago, IL",2019-05-26,"Rain, Partially cloudy"
"Dallas/Fort Worth, TX",2019-09-13,Partially cloudy
"Grand Rapids, MI",2018-06-02,Overcast
"Charleston/Dunbar, WV",2018-02-04,"Rain, Overcast"
"New York, NY",2018-08-15,Rain
"Burlington, VT",2019-02-21,"Rain, Overcast"
"New York, NY",2018-10-18,Rain
"Austin, TX",2018-05-27,Clear
"Oakland, CA",2019-09-10,Partially cloudy
"San Francisco, CA",2018-09-28,Partially cloudy
"Seattle, WA",2019-01-19,"Rain, Partially cloudy"
"Newark, NJ",2018-02-11,"Rain, Overcast"
"Amarillo, TX",2019-04-02,Clear
"Chicago, IL",2018-04-01,Partially cloudy
