city,date,conditions
"Denver, CO",2018-07-11,Partially cloudy
"New York, NY",2019-06-30,Rain
"San Francisco, CA",2019-01-05,"Rain, Partially cloudy"
"Santa Rosa, CA",2019-10-17,"Rain, Partially cloudy"
"Denver, CO",2019-04-13,"Snow, Partially cloudy"
"Denver, CO",2019-08-05,Partially cloudy
"Salt Lake City, UT",2018-11-05,Partially cloudy
"Boise, ID",2019-07-13,Clear
"Tampa, FL",2018-04-01,Partially cloudy
"Lincoln, NE",2018-09-27,Clear
"Chicago, IL",2018-09-22,Partially cloudy
"Salt Lake City, UT",2018-10-19,Clear
"Denver, CO",2019-01-11,"Snow, Overcast"
"San Jose, CA",2019-06-24,Partially cloudy
"Detroit, MI",2019-11-07,"Snow, Partially cloudy"
"Houston, TX",2018-09-18,Partially cloudy
"Seattle, WA",2018-04-14,"Rain, Overcast"
"Dallas, TX",2018-03-31,Partially cloudy
"Grand Rapids, MI",2018-10-18,Clear
"Columbus, OH",2018-05-18,"Rain, Overcast"
"Detroit, MI",2019-07-25,Partially cloudy
"Charlotte, NC",2018-08-01,"Rain, Overcast"
"Washington, DC",2019-08-28,"Rain, Partially cloudy"
"Houston, TX",2018-01-19,"Rain, Overcast"
"Savannah, GA",2019-04-24,Partially cloudy
"Syracuse, NY",2018-04-16,"Rain, Overcast"
"San Francisco, CA",2019-12-07,"Rain, Partially cloudy"
"Bismarck/Mandan, ND",2019-06-15,"Rain, Partially cloudy"
"Boston, MA",2019-01-06,Partially cloudy
"Dallas/Fort Worth, TX",2019-06-18,Partially cloudy
"Atlanta, GA",2019-01-05,Partially cloudy
"San Antonio, TX",2018-07-10,Partially cloudy
"Spokane, WA",2019-12-22,"Rain, Partially cloudy"
"Pittsburgh, PA",2018-05-16,"Rain, Partially cloudy"
"Richmond, VA",2018-11-02,"Rain, Overcast"
"Burlington, VT",2019-04-02,Partially cloudy
"Dallas, TX",2019-12-09,Partially cloudy
"Charlotte, NC",2018-05-22,"Rain, Partially cloudy"
"Seattle, WA",2019-12-20,"Rain, Overcast"
"Denver, CO",2019-04-21,"Rain, Partially cloudy"
"Salt Lake City, UT",2018-07-23,Partially cloudy
"Dallas/Fort Worth, TX",2018-10-25,"Rain, Overcast"
"Raleigh/Durham, NC",2018-04-02,Partially cloudy
"Austin, TX",2019-10-31,Clear
"Chicago, IL",2018-01-15,"Snow, Overcast"
"New York, NY",2018-02-10,"Rain, Partially cloudy"
"Pittsburgh, PA",2019-08-12,Clear
"Palm Springs, CA",2018-09-12,Clear
"Atlanta, GA",2019-12-23,"Rain, Overcast"
"Washington, DC",2018-07-08,Clear
"Atlanta, GA",2019-10-14,Partially cloudy
"Milwaukee, WI",2018-08-01,"Rain, Partially cloudy"
"Omaha, NE",2019-10-15,Partially cloudy
"Columbus, OH",2019-07-17,"Rain, Partially cloudy"
"Seattle, WA",2018-07-22,Clear
"Newark, NJ",2018-01-22,"Rain, Overcast"
"Atlanta, GA",2019-05-28,Clear
"Panama City, FL",2018-07-08,"Rain, Partially cloudy"
"Kansas City, MO",2019-04-14,Clear
"Omaha, NE",2018-12-04,"Snow, Overcast"
"Phoenix, AZ",2018-10-05,Clear
"Charlotte, NC",2019-02-19,"Rain, Overcast"
"Kahului, HI",2019-09-23,"Rain, Partially cloudy"
"Santa Ana, CA",2019-05-20,Partially cloudy
"Charlotte, NC",2019-06-17,"Rain, Partially cloudy"
"Minneapolis, MN",2018-12-10,Partially cloudy
"New York, NY",2018-01-10,Rain
"Detroit, MI",2018-12-14,"Rain, Overcast"
"Chicago, IL",2019-06-19,"Rain, Partially cloudy"
"Honolulu, HI",2018-04-30,Partially cloudy
"Chicago, IL",2018-05-02,"Rain, Overcast"
"Orlando, FL",2018-09-01,Partially cloudy
"Punta Gorda, FL",2019-04-03,Partially cloudy
"Tampa, FL",2019-02-05,Partially cloudy
"Tampa, FL",2019-05-14,"Rain, Partially cloudy"
"Baltimore, MD",2018-07-01,Partially cloudy
"Las Vegas, NV",2019-09-26,Partially cloudy
"Chicago, IL",2018-10-08,"Rain, Partially cloudy"
"Chicago, IL",2019-06-11,Partially cloudy
"Tucson, AZ",2019-01-17,Clear
"Longview, TX",2019-08-16,Clear
"Charlotte, NC",2019-04-07,"Rain, Partially cloudy"
"Seattle, WA",2019-02-15,"Rain, Partially cloudy"
"Duluth, MN",2019-05-14,"Rain, Partially cloudy"
"Detroit, MI",2018-06-27,"Rain, Partially cloudy"
"Tampa, FL",2018-06-23,Partially cloudy
"Dallas/Fort Worth, TX",2019-07-07,Partially cloudy
"Champaign/Urbana, IL",2019-01-11,"Snow, Partially cloudy"
"Washington, DC",2018-05-13,"Rain, Overcast"
"Minneapolis, MN",2019-04-04,Partially cloudy
"Detroit, MI",2019-04-24,Clear
"Miami, FL",2018-06-04,Partially cloudy
"Springfield, IL",2018-09-10,Clear
"Chicago, IL",2018-03-11,Partially cloudy
"Midland/Odessa, TX",2018-07-05,Clear
"San Antonio, TX",2018-09-02,Partially cloudy
"Dallas/Fort Worth, TX",2019-08-15,Partially cloudy
"San Diego, CA",2019-02-22,Partially cloudy
"Philadelphia, PA",2019-08-08,Partially cloudy
"Kona, HI",2018-02-22,"Rain, Partially cloudy"
"Seattle, WA",2018-12-15,"Rain, Overcast"
"Portland, ME",2019-03-26,Clear
"Houston, TX",2019-10-07,Partially cloudy
"San Francisco, CA",2019-06-30,Partially cloudy
"Baltimore, MD",2019-03-02,"Rain, Overcast"
"Brownsville, TX",2019-11-02,Partially cloudy
"Honolulu, HI",2019-01-27,Partially cloudy
"Portland, ME",2018-01-21,Partially cloudy
"Chicago, IL",2019-05-23,"Rain, Partially cloudy"
"Denver, CO",2018-06-21,Partially cloudy
"Cedar Rapids/Iowa City, IA",2018-12-12,Partially cloudy
"Chicago, IL",2019-03-20,"Rain, Overcast"
"Providence, RI",2019-02-25,"Rain, Partially cloudy"
"Raleigh/Durham, NC",2019-12-07,Clear
"Dallas/Fort Worth, TX",2018-02-12,Partially cloudy
"Detroit, MI",2019-06-18,Partially cloudy
"Tampa, FL",2018-08-03,"Rain, Partially cloudy"
"Philadelphia, PA",2018-09-14,Overcast
"Dallas, TX",2018-10-02,Partially cloudy
"Charlotte, NC",2018-12-30,"Rain, Overcast"
"Chicago, IL",2018-09-26,Partially cloudy
"New York, NY",2018-05-04,Partially cloudy
"Midland/Odessa, TX",2019-08-28,"Rain, Partially cloudy"
"Newark, NJ",2019-10-24,Clear
"Charlotte, NC",2019-03-03,"Rain, Overcast"
"Charlotte, NC",2019-06-06,Partially cloudy
"Charlotte, NC",2018-04-01,Partially cloudy
"Fort Myers, FL",2019-08-20,Rain
"Chicago, IL",2019-07-23,Partially cloudy
"Chicago, IL",2019-04-25,Partially cloudy
"Honolulu, HI",2019-08-31,"Rain, Partially cloudy"
"Durango, CO",2018-11-13,Clear
"Houston, TX",2019-10-01,Clear
"West Yellowstone, MT",2018-07-31,Clear
"Jacksonville, FL",2019-10-23,Partially cloudy
"Atlanta, GA",2019-03-31,"Rain, Partially cloudy"
"Burbank, CA",2019-11-07,Partially cloudy
"New York, NY",2019-10-21,Rain
"San Francisco, CA",2019-06-05,Partially cloudy
"Austin, TX",2018-07-24,Clear
"Phoenix, AZ",2018-05-17,Clear
"Houston, TX",2019-06-01,Clear
"San Juan, PR",2018-04-17,"Rain, Partially cloudy"
"Detroit, MI",2018-02-16,"Snow, Partially cloudy"
"Atlanta, GA",2019-08-13,Clear
"Rochester, NY",2019-11-09,Overcast
"Harrisburg, PA",2019-03-19,Clear
"Eugene, OR",2018-02-08,Partially cloudy
"Orlando, FL",2019-03-18,Overcast
"Williston, ND",2019-01-09,Partially cloudy
"Aspen, CO",2018-07-20,"Rain, Partially cloudy"
"Milwaukee, WI",2019-06-06,Partially cloudy
"Minneapolis, MN",2019-07-17,Partially cloudy
"Spokane, WA",2019-04-21,Clear
"Minneapolis, MN",2019-12-11,Partially cloudy
"Atlanta, GA",2019-02-26,Partially cloudy
"Phoenix, AZ",2018-10-26,Clear
"Atlanta, GA",2019-07-01,Clear
"Denver, CO",2018-07-26,"Rain, Overcast"
"Seattle, WA",2018-02-26,Partially cloudy
"Boston, MA",2018-11-28,Partially cloudy
"Los Angeles, CA",2019-12-19,Clear
"Columbia, SC",2018-12-31,"Rain, Overcast"
"Kansas City, MO",2019-04-21,Clear
"Boston, MA",2018-07-25,"Rain, Overcast"
"Los Angeles, CA",2018-06-10,Clear
"Houston, TX",2018-08-07,"Rain, Partially cloudy"
"Houston, TX",2019-06-17,"Rain, Partially cloudy"
"Portland, OR",2018-08-28,Clear
"Phoenix, AZ",2019-03-24,Partially cloudy
"Detroit, MI",2018-04-30,Clear
"Baltimore, MD",2018-03-31,Clear
"Washington, DC",2019-09-20,Partially cloudy
"Washington, DC",2019-03-14,Partially cloudy
"Philadelphia, PA",2018-10-26,"Rain, Partially cloudy"
"Charlotte, NC",2018-06-26,"Rain, Overcast"
"Chicago, IL",2018-10-16,Clear
"Atlanta, GA",2019-06-01,Clear
"New York, NY",2018-04-04,Rain
"Kahului, HI",2019-06-07,Partially cloudy
"Detroit, MI",2018-05-01,Clear
"Atlanta, GA",2019-01-24,"Rain, Partially cloudy"
"Dallas/Fort Worth, TX",2019-04-08,"Rain, Partially cloudy"
"Burbank, CA",2018-08-08,Clear
"Minneapolis, MN",2018-11-26,Partially cloudy
"Charlotte, NC",2018-10-06,Partially cloudy
"Fort Lauderdale, FL",2019-01-08,Clear
"Phoenix, AZ",2018-06-24,Clear
"Fayetteville, AR",2018-12-30,Partially cloudy
"Atlanta, GA",2019-11-08,"Rain, Partially cloudy"
"Dallas/Fort Worth, TX",2018-03-06,Clear
"Charlotte, NC",2019-07-09,Partially cloudy
"Seattle, WA",2019-11-30,Clear
"Jacksonville/Camp Lejeune, NC",2018-05-22,"Rain, Partially cloudy"
"Minneapolis, MN",2018-02-05,Partially cloudy
"New York, NY",2018-09-06,"Rain, Partially cloudy"
"New York, NY",2019-07-17,"Rain, Partially cloudy"
"Bangor, ME",2019-11-02,Partially cloudy
"Midland/Odessa, TX",2019-10-02,"Rain, Partially cloudy"
"Dallas/Fort Worth, TX",2019-12-17,Clear
"New York, NY",2019-02-17,Rain
"Atlanta, GA",2018-09-05,Partially cloudy
"Nashville, TN",2019-10-21,"Rain, Partially cloudy"
"San Juan, PR",2018-04-01,Partially cloudy
"Detroit, MI",2018-07-19,Clear
"Burlington, VT",2019-05-18,Overcast
"Los Angeles, CA",2018-07-10,Clear
