city,date,conditions
"Indianapolis, IN",2018-12-02,Partially cloudy
"San Antonio, TX",2018-05-20,"Rain, Partially cloudy"
"Houston, TX",2019-05-26,Partially cloudy
"Newark, NJ",2018-07-12,Partially cloudy
"Las Vegas, NV",2018-03-01,Partially cloudy
"St. Louis, MO",2019-09-11,Clear
"Grand Junction, CO",2018-04-06,Overcast
"Wilmington, NC",2018-12-12,Clear
"San Francisco, CA",2019-09-28,Partially cloudy
"Nashville, TN",2018-04-09,Partially cloudy
"San Francisco, CA",2019-11-05,Clear
"Charlotte, NC",2018-05-10,"Rain, Partially cloudy"
"Dallas/Fort Worth, TX",2018-12-03,Partially cloudy
"Chicago, IL",2018-07-06,Clear
"Dallas/Fort Worth, TX",2019-02-10,"Rain, Overcast"
"Austin, TX",2018-03-24,Overcast
"Charlottesville, VA",2018-05-24,Clear
"Dallas/Fort Worth, TX",2019-08-23,Partially cloudy
"Kona, HI",2019-07-14,"Rain, Partially cloudy"
"Detroit, MI",2018-03-27,"Rain, Overcast"
"Austin, TX",2019-12-15,Clear
"Los Angeles, CA",2019-04-08,Clear
"Houston, TX",2018-01-14,Clear
"New York, NY",2018-08-10,Clear
"San Diego, CA",2018-09-10,Partially cloudy
"Salt Lake City, UT",2019-06-26,Partially cloudy
"Bend/Redmond, OR",2019-04-14,Partially cloudy
"Baltimore, MD",2018-07-20,Partially cloudy
"Charlotte, NC",2019-06-10,"Rain, Partially cloudy"
"Charlotte, NC",2018-03-29,Partially cloudy
"Charlotte, NC",2018-09-16,"Rain, Overcast"
"Detroit, MI",2019-06-03,Clear
"New York, NY",2019-06-23,Clear
"Baltimore, MD",2018-01-12,"Rain, Overcast"
"Dallas/Fort Worth, TX",2018-03-05,Partially cloudy
"Orlando, FL",2018-03-17,Clear
"Phoenix, AZ",2018-03-20,Partially cloudy
"Santa Ana, CA",2018-03-28,Clear
"Nashville, TN",2019-11-06,Partially cloudy
"Denver, CO",2019-07-01,"Rain, Partially cloudy"
"Atlanta, GA",2019-01-03,"Rain, Overcast"
"Atlanta, GA",2019-05-26,Clear
"Atlanta, GA",2018-06-19,Clear
"Washington, DC",2018-05-18,"Rain, Overcast"
"Evansville, IN",2019-05-02,"Rain, Partially cloudy"
"Salt Lake City, UT",2019-02-02,Partially cloudy
"Nashville, TN",2019-06-16,Partially cloudy
"Portland, OR",2019-06-30,Clear
"Duluth, MN",2018-10-08,"Rain, Overcast"
"Atlanta, GA",2018-12-30,"Rain, Overcast"
"Eugene, OR",2019-12-28,Partially cloudy
"Chicago, IL",2019-05-29,"Rain, Partially cloudy"
"Honolulu, HI",2018-10-26,"Rain, Overcast"
"San Francisco, CA",2018-05-18,Overcast
"Los Angeles, CA",2019-08-23,Partially cloudy
